doy,TMAX,TMIN,TAVG,PRCP
1,0.7903313789417192,0.08714701444061604,0.4387391966911676,0.8
2,0.8091498969268702,0.10295495762326541,0.45605242727506784,3.9499999999999997
3,0.8350033397728508,0.1233688523639574,0.47918609606840407,2.0
4,0.8570663566379148,0.14365289584719215,0.5003596262425535,5.6
5,0.870767142915817,0.1592419035261994,0.5150045232210082,5.55
6,0.8941404717884568,0.17217073045019232,0.5331556011193245,2.25
7,0.9028212528624454,0.18632884506193562,0.5445750489621906,7.439416666666666
8,0.9243683849891056,0.19167506712218832,0.558021726055647,3.65
9,0.9353827506062086,0.20078578309979755,0.5680842668530031,2.8
10,0.9347300814186426,0.20129116395331972,0.568010622685981,2.55
11,0.9337002698141642,0.20154647162816072,0.5676233707211625,2.8
12,0.9312786812724975,0.20073525635038297,0.5660069688114402,5.199999999999999
13,0.9359387755185292,0.20121690218371632,0.5685778388511228,0.65
14,0.9373947898730807,0.2017807246043512,0.5695877572387159,1.3
15,0.9392077819365726,0.20091175833450994,0.5700597701355413,0.4
16,0.9338506517233763,0.2029445929961524,0.5683976223597643,0.9
17,0.9237642251360748,0.19232745722517736,0.558045841180626,1.25
18,0.9157149243974748,0.17442665861406625,0.5450707915057705,2.55
19,0.9081477127892806,0.16108572838150811,0.5346167205853943,1.9
20,0.9087192904569565,0.15138354936810688,0.5300514199125318,1.4
21,0.903179507374676,0.14696824874979753,0.5250738780622368,1.1
22,0.9139717603508665,0.15319895671869938,0.533585358534783,2.15
23,0.9254397146754535,0.1665654472434807,0.5460025809594671,1.65
24,0.9358987459254535,0.18095068509070295,0.5584247155080783,2.25
25,0.9503565327380952,0.1949293982426304,0.5726429654903628,0.0
26,0.9599310933956916,0.20149487740929706,0.5807129854024943,1.75
27,0.9737571958262471,0.20995814824263037,0.5918576720344386,0.75
28,0.9896489050099206,0.22105470819160997,0.6053518066007653,1.35
29,1.0004216688988095,0.22916718735827665,0.614794428128543,3.65
30,1.0200087516534393,0.24008618735827664,0.6300474695058579,2.55
31,1.038616744850718,0.2523158767006803,0.6454663107756992,2.9
32,1.0563091858229403,0.259796376984127,0.6580527814035336,2.9
33,1.064437192058768,0.26981135615079366,0.6671242741047808,1.15
34,1.0765604384212017,0.27256955100016195,0.6745649947106819,1.0
35,1.0764366522817461,0.2705775420715905,0.6735070971766682,2.65
36,1.0747222157738097,0.27069541409540004,0.6727088149346049,0.3
37,1.0715651349914965,0.26632348892533203,0.6689443119584143,1.65
38,1.0655097211592972,0.2475183443675089,0.6565140327634029,0.45
39,1.055475863520408,0.22988658317136376,0.642681223345886,0.0
40,1.051195281923186,0.214283805393586,0.632739543658386,0.1
41,1.0480939142928005,0.20242874289358598,0.6252613285931932,0.1
42,1.0367697079435942,0.19059109706025265,0.6136804025019235,0.0
43,1.0167432269345238,0.17314414127793973,0.5949436841062318,0.45
44,1.010651100375567,0.1552328836248785,0.5829419920002227,1.4
45,1.0071817483465608,0.14619311066569482,0.5766874295061278,1.2
46,0.9892807950665033,0.12883352539090392,0.5590571602287037,0.9
47,0.9706205616687087,0.11764889460310493,0.5441347281359068,0.6
48,0.9573746030702155,0.10984353161758814,0.5336090673439018,0.8
