doy,TMAX,TMIN,TAVG,PRCP
1,0.5710745967741935,-0.03712903225806453,0.2669727822580645,0.0
2,0.5681579301075268,-0.04368682795698926,0.2622355510752688,0.0
3,0.5679623655913979,-0.048745295698924745,0.25960853494623654,0.0
4,0.5567950268817204,-0.05633198924731184,0.2502315188172043,0.0
5,0.5599213709677419,-0.0597728494623656,0.2500742607526882,0.0
6,0.5679254032258064,-0.06624798387096774,0.25083870967741934,0.0
7,0.558875,-0.08397916666666667,0.23744791666666665,0.0
8,0.5434166666666667,-0.09543750000000001,0.22398958333333333,0.0
9,0.5325208333333333,-0.11320833333333334,0.20965625,0.0
10,0.5185833333333333,-0.12418750000000002,0.19719791666666667,0.0
11,0.5124583333333333,-0.1366875,0.18788541666666667,0.0
12,0.5009583333333333,-0.14268750000000002,0.17913541666666666,0.0
13,0.4939166666666666,-0.15356250000000002,0.17017708333333334,0.0
14,0.4708333333333333,-0.17543750000000002,0.14769791666666668,0.0
15,0.45879166666666665,-0.18895833333333334,0.13491666666666666,0.0
16,0.45410416666666664,-0.19795833333333335,0.12807291666666665,0.0
17,0.4448125,-0.20918750000000003,0.1178125,0.0
18,0.43624999999999997,-0.22016666666666665,0.10804166666666666,0.65
19,0.4246666666666667,-0.2311041666666667,0.09678125,0.0
20,0.40660416666666666,-0.24939583333333334,0.07860416666666666,0.0
21,0.38129166666666664,-0.26075000000000004,0.06027083333333332,0.0
22,0.37856249999999997,-0.26377083333333334,0.057395833333333326,0.0
23,0.3808541666666666,-0.2673125,0.056770833333333326,0.0
24,0.3734166666666667,-0.2692291666666667,0.05209374999999999,0.0
25,0.38485416666666666,-0.2616875,0.06158333333333332,0.0
26,0.3919375,-0.25720833333333337,0.06736458333333332,0.0
27,0.39939583333333334,-0.2551875,0.07210416666666665,0.0
28,0.41020833333333334,-0.24939583333333334,0.08040625,0.0
29,0.4291041666666667,-0.2354166666666667,0.09684374999999998,0.0
30,0.44210416666666663,-0.22541666666666668,0.10834374999999999,0.0
31,0.4527291666666667,-0.21570833333333334,0.11851041666666665,0.0
32,0.4546875,-0.2133958333333333,0.12064583333333333,0.0
33,0.459,-0.21277083333333335,0.12311458333333332,0.0
34,0.47770833333333335,-0.20175,0.13797916666666665,0.0
35,0.4864166666666667,-0.1960416666666667,0.1451875,0.0
36,0.491,-0.19541666666666666,0.14779166666666665,0.0
37,0.4917916666666667,-0.19822916666666668,0.14678125,0.0
38,0.4980625,-0.19341666666666668,0.1523229166666667,0.0
39,0.5112708333333333,-0.18470833333333336,0.16328125,0.0
40,0.5150625,-0.18295833333333336,0.16605208333333332,0.0
41,0.5176875,-0.18133333333333335,0.1681770833333333,0.0
42,0.530375,-0.1823541666666667,0.17401041666666664,0.0
43,0.5437291666666667,-0.1797291666666667,0.182,0.0
44,0.5667083333333333,-0.16533333333333333,0.2006875,0.0
45,0.6045625,-0.152875,0.22584375,0.0
46,0.6206290322580645,-0.1385530913978495,0.2410379704301075,0.0
47,0.6407715053763441,-0.12125067204301078,0.25976041666666666,0.0
48,0.6576686827956989,-0.10859072580645163,0.27453897849462366,0.0
49,0.6657325268817205,-0.10568951612903228,0.28002150537634407,0.0
50,0.6720463709677419,-0.09665456989247313,0.2876959005376344,0.0
51,0.6951586021505377,-0.0826760752688172,0.30624126344086017,0.0
52,0.7212002688172043,-0.05887500000000002,0.3311626344086021,0.0
53,0.7387708333333334,-0.04141599462365594,0.3486774193548387,0.0
54,0.7532869623655915,-0.027559811827957005,0.36286357526881724,0.0
55,0.7612305107526881,-0.024319892473118294,0.36845530913978497,0.0
56,0.7676317204301076,-0.0172701612903226,0.3751807795698925,0.0
57,0.7705665322580645,-0.004390456989247328,0.3830880376344086,0.0
58,0.7758030913978495,0.0070866935483870795,0.39144489247311826,0.0
59,0.7812674731182796,0.015756048387096756,0.3985117607526882,0.0
60,0.7783225806451612,0.025526881720430092,0.40192473118279565,0.0
61,0.7941935483870968,0.031290322580645145,0.41274193548387095,0.0
62,0.8144946236559141,0.03486021505376343,0.4246774193548387,0.0
63,0.8344516129032259,0.05208602150537633,0.44326881720430106,0.0
64,0.8483225806451613,0.0655268817204301,0.4569247311827957,0.0
65,0.8636989247311829,0.07653763440860213,0.4701182795698925,0.0
66,0.8811182795698925,0.0930537634408602,0.4870860215053764,0.0
67,0.9041290322580644,0.10959139784946234,0.5068602150537634,0.0
68,0.928236559139785,0.1268602150537634,0.5275483870967742,0.0
69,0.9491612903225806,0.1411827956989247,0.5451720430107527,0.0
70,0.9737849462365592,0.16440860215053762,0.5690967741935483,0.0
71,0.9941505376344085,0.18451612903225806,0.5893333333333334,0.0
72,1.010043010752688,0.20324731182795697,0.6066451612903225,0.0
73,1.0293548387096774,0.220752688172043,0.6250537634408602,0.0
74,1.0458494623655912,0.23286021505376342,0.6393548387096774,0.0
75,1.0450752688172043,0.23931182795698921,0.6421935483870967,0.0
76,1.050451612903226,0.24870967741935482,0.6495806451612903,0.0
77,1.053763440860215,0.26559139784946234,0.6596774193548387,0.0
78,1.061032258064516,0.27518279569892473,0.6681075268817204,0.0
79,1.0824516129032256,0.2880430107526882,0.685247311827957,0.0
80,1.1032473118279569,0.3064516129032258,0.7048494623655913,0.3
81,1.1223870967741936,0.3278064516129032,0.7250967741935483,0.0
82,1.1329247311827957,0.3413978494623656,0.7371612903225806,0.0
83,1.1481505376344083,0.3553763440860215,0.7517634408602151,0.0
84,1.1659569892473118,0.37346236559139784,0.7697096774193548,0.0
85,1.180516129032258,0.3896989247311828,0.7851075268817204,0.0
