doy,TMAX,TMIN,TAVG,PRCP
1,0.5265752688172043,-0.047471774193548394,0.23955174731182796,0.25
2,0.5234825268817205,-0.04628091397849463,0.23860080645161288,0.35
3,0.5202577284946237,-0.04132997311827957,0.23946387768817204,0.0
4,0.5190588037634408,-0.03633232526881721,0.24136323924731182,0.0
5,0.5162647849462366,-0.03619287634408603,0.24003595430107527,0.4
6,0.5171188985568761,-0.03945379704301076,0.23883255075693263,0.15000000000000002
7,0.5127787828947368,-0.047546875,0.2326159539473684,0.15000000000000002
8,0.5276537828947369,-0.03682291666666667,0.2454154331140351,0.0
9,0.520813505116959,-0.04460763888888889,0.23810293311403508,1.05
10,0.5187371162280702,-0.05144791666666667,0.23364459978070176,0.0
11,0.5180079495614035,-0.054197916666666665,0.23190501644736844,0.0
12,0.5125912828947369,-0.05253125,0.23003001644736842,0.0
13,0.5113829495614035,-0.0502673611111111,0.23055779422514622,0.0
14,0.5147787828947368,-0.05059375,0.23209251644736845,0.0
15,0.5163829495614035,-0.05182702850877193,0.2322779605263158,0.0
16,0.5112579495614036,-0.05538952850877193,0.2279342105263158,0.0
17,0.5019037828947368,-0.06434786184210525,0.21877796052631576,0.05
18,0.5026641995614035,-0.07057702850877193,0.2160435855263158,0.05
19,0.5013516995614035,-0.07317077850877192,0.2140904605263158,0.0
20,0.5025704495614035,-0.07257702850877193,0.21499671052631578,0.4
21,0.5056356907894737,-0.0674155701754386,0.21911006030701757,0.0
22,0.5086666666666667,-0.0595093201754386,0.22457867324561404,0.0
23,0.5118125,-0.05244161184210527,0.22968544407894737,0.0
24,0.5165416666666667,-0.050274945175438596,0.23313336074561403,0.2
25,0.5325486111111111,-0.042740222953216375,0.24490419407894734,0.0
26,0.5526458333333333,-0.034920778508771934,0.2588625274122807,0.4
27,0.580375,-0.023941611842105262,0.2782166940789474,0.25
28,0.6037291666666668,-0.0267749451754386,0.28847711074561405,0.0
29,0.6325625,-0.02673327850877193,0.3029146107456141,0.0
30,0.6624583333333334,-0.017104166666666667,0.3226770833333334,0.0
31,0.6963124999999999,-0.01254166666666667,0.34188541666666666,0.05
32,0.7258333333333333,0.0015208333333333332,0.3636770833333333,0.1
33,0.7587083333333332,0.007145833333333334,0.38292708333333336,0.05
34,0.7916458333333334,0.010875000000000001,0.4012604166666666,0.0
35,0.8244791666666667,0.03187500000000001,0.42817708333333326,0.0
36,0.8467083333333333,0.043520833333333335,0.4451145833333333,0.0
37,0.8789374999999999,0.04847916666666667,0.4637083333333333,0.0
38,0.9003125,0.0494375,0.474875,0.25
39,0.9221666666666667,0.05493750000000001,0.48855208333333333,0.15000000000000002
40,0.9388680555555555,0.062215277777777786,0.5005416666666667,0.0
41,0.9447708333333333,0.0731875,0.5089791666666666,0.55
42,0.9431458333333332,0.07233333333333333,0.5077395833333334,0.35
43,0.9545624999999999,0.0861875,0.520375,0.0
44,0.9653541666666666,0.10545833333333333,0.53540625,0.0
45,0.9807708333333334,0.119875,0.5503229166666668,0.05
46,0.971388440860215,0.12600604838709678,0.5486972446236559,0.0
47,0.9719704301075269,0.1268508064516129,0.5494106182795698,0.0
48,0.9662909946236559,0.13392338709677418,0.5501071908602151,0.0
49,0.9642520161290322,0.14351075268817207,0.5538813844086021,0.05
50,0.9563918010752688,0.13218615591397848,0.5442889784946237,0.0
