date,PRCP,TAVG,TMAX,TMIN,bio_year,doy,photoperiod,cp,gdd,site,ao_30d,ao_90d,nao_30d,nao_90d,oni_30d,oni_90d
2025-09-01,0.0,20.55,27.2,13.9,2025,244,13.87685775879312,0.0,0.0,washingtondc,0.04313333333333315,0.48915555555555557,0.12736666666666663,0.24086666666666673,-0.3891935483870968,-0.2698
2025-09-02,0.0,21.15,26.7,15.6,2025,245,13.832882316026888,0.0,0.0,washingtondc,0.04959999999999982,0.4731444444444444,0.08086666666666663,0.23972222222222228,,
2025-09-03,0.0,21.95,28.3,15.6,2025,246,13.788845353152935,0.0,0.0,washingtondc,0.056533333333333144,0.4561111111111111,0.02999999999999997,0.23162222222222226,,
2025-09-04,8.6,24.700000000000003,31.1,18.3,2025,247,13.74475639343683,0.0,0.0,washingtondc,0.04963333333333315,0.433911111111111,-0.02500000000000003,0.21693333333333342,,
2025-09-05,0.0,25.0,31.7,18.3,2025,248,13.700624735687802,0.0,0.0,washingtondc,0.02263333333333314,0.40894444444444444,-0.07936666666666671,0.20385555555555562,,
2025-09-06,34.3,26.4,33.9,18.9,2025,249,13.656459463422514,0.0,0.0,washingtondc,-0.03073333333333352,0.38061111111111107,-0.12843333333333334,0.19401111111111116,,
2025-09-07,15.5,20.85,25.6,16.1,2025,250,13.612269454223808,0.0,0.0,washingtondc,-0.06956666666666685,0.3581333333333333,-0.1690666666666667,0.18482222222222228,,
2025-09-08,0.0,19.15,24.4,13.9,2025,251,13.568063389269863,0.0,0.0,washingtondc,-0.06716666666666685,0.34881111111111107,-0.21173333333333338,0.17510000000000003,,
2025-09-09,0.0,19.15,25.0,13.3,2025,252,13.523849763010642,0.0,0.0,washingtondc,-0.04366666666666685,0.35096666666666665,-0.247,0.16858888888888895,,
2025-09-10,5.1,18.6,21.1,16.1,2025,253,13.479636892969513,0.0,0.0,washingtondc,-0.01840000000000018,0.3589555555555555,-0.28673333333333334,0.16080000000000005,,
2025-09-11,0.0,23.049999999999997,27.2,18.9,2025,254,13.43543292964924,0.0,0.0,washingtondc,0.00999999999999982,0.36682222222222216,-0.34026666666666666,0.1463444444444445,,
2025-09-12,0.0,22.5,27.8,17.2,2025,255,13.391245866522455,0.0,0.0,washingtondc,0.034166666666666484,0.36944444444444446,-0.39670000000000005,0.1304444444444445,,
2025-09-13,0.0,22.25,27.8,16.7,2025,256,13.347083550087854,0.0,0.0,washingtondc,0.04203333333333315,0.3652777777777777,-0.4388,0.11938888888888893,,
2025-09-14,0.0,23.85,29.4,18.3,2025,257,13.30295368997421,0.0,0.0,washingtondc,0.019633333333333156,0.3517888888888889,-0.4711,0.10805555555555561,,
2025-09-15,0.0,23.35,27.8,18.9,2025,258,13.25886386907524,0.0,0.0,washingtondc,-0.010133333333333515,0.32919999999999994,-0.4895666666666667,0.09565555555555562,,
2025-09-16,20.8,19.15,22.2,16.1,2025,259,13.2148215536991,0.0,0.0,washingtondc,-0.034300000000000185,0.30322222222222217,-0.4980666666666667,0.08307777777777783,,
2025-09-17,1.0,18.65,20.6,16.7,2025,260,13.170834103717096,0.0,0.0,washingtondc,-0.04560000000000018,0.28435555555555553,-0.49133333333333334,0.07328888888888895,,
2025-09-18,0.0,22.75,27.2,18.3,2025,261,13.12690878269677,0.0,0.0,washingtondc,-0.04596666666666684,0.2714444444444444,-0.46993333333333337,0.06358888888888893,,
2025-09-19,0.0,25.25,32.2,18.3,2025,262,13.083052768005215,0.0,0.0,washingtondc,-0.04190000000000018,0.25797777777777775,-0.4478666666666667,0.05120000000000006,,
2025-09-20,0.0,22.5,25.0,20.0,2025,263,13.039273160868934,0.0,0.0,washingtondc,-0.018933333333333517,0.2455444444444444,-0.4254666666666667,0.037522222222222276,,
2025-09-21,0.0,20.8,23.3,18.3,2025,264,12.995576996377045,0.0,0.0,washingtondc,0.02589999999999982,0.23804444444444445,-0.40590000000000004,0.025600000000000057,,
2025-09-22,0.0,21.15,25.6,16.7,2025,265,12.95197125341499,0.0,0.0,washingtondc,0.07269999999999982,0.23398888888888886,-0.39130000000000004,0.016877777777777832,,
2025-09-23,1.0,23.6,28.9,18.3,2025,266,12.90846286451635,0.0,0.0,washingtondc,0.09776666666666649,0.23126666666666668,-0.38860000000000006,0.009622222222222277,,
2025-09-24,0.0,23.05,26.1,20.0,2025,267,12.865058725620429,0.0,0.0,washingtondc,0.10826666666666648,0.23106666666666661,-0.38900000000000007,0.0057444444444445,,
2025-09-25,5.1,24.7,27.2,22.2,2025,268,12.82176570572369,0.0,0.0,washingtondc,0.11513333333333314,0.23218888888888886,-0.38210000000000005,0.004788888888888944,,
2025-09-26,0.0,25.0,29.4,20.6,2025,269,12.77859065641309,0.0,0.0,washingtondc,0.12939999999999982,0.23133333333333334,-0.36576666666666674,0.006522222222222277,,
2025-09-27,3.0,22.75,26.1,19.4,2025,270,12.735540421269569,0.0,0.0,washingtondc,0.1104999999999998,0.2202333333333333,-0.3552333333333334,0.013311111111111164,,
2025-09-28,0.0,24.15,28.9,19.4,2025,271,12.692621845129874,0.0,0.0,washingtondc,0.08029999999999982,0.20384444444444444,-0.35940000000000005,0.01796666666666672,,
2025-09-29,0.0,22.25,25.6,18.9,2025,272,12.649841783194923,0.0,0.0,washingtondc,0.06123333333333315,0.18616666666666662,-0.36410000000000003,0.014744444444444497,,
2025-09-30,0.0,21.9,24.4,19.4,2025,273,12.607207109972851,0.0,0.0,washingtondc,0.04616666666666648,0.16825555555555552,-0.3738000000000001,0.0025222222222222763,,
2025-10-01,0.0,19.45,23.9,15.0,2025,274,12.564724728044679,0.0,0.0,washingtondc,0.03303333333333315,0.15396666666666667,-0.3823333333333334,-0.010155555555555501,,
2025-10-02,0.0,17.5,22.2,12.8,2025,275,12.522401576640416,0.0,0.0,washingtondc,0.01989999999999981,0.14122222222222222,-0.3677,-0.014955555555555501,,
2025-10-03,0.0,17.5,22.2,12.8,2025,276,12.480244640013234,0.0,0.0,washingtondc,0.027799999999999814,0.13485555555555553,-0.32530000000000003,-0.014244444444444391,,
2025-10-04,0.0,19.200000000000003,25.6,12.8,2025,277,12.43826095559899,0.0,0.0,washingtondc,0.06373333333333314,0.13497777777777775,-0.28440000000000004,-0.019911111111111053,,
2025-10-05,0.0,20.55,26.7,14.4,2025,278,12.39645762194816,0.0,0.0,washingtondc,0.11196666666666649,0.13311111111111107,-0.253,-0.029155555555555504,,
2025-10-06,0.0,21.65,27.2,16.1,2025,279,12.354841806416943,0.0,0.0,washingtondc,0.18246666666666647,0.1315333333333333,-0.20790000000000003,-0.035477777777777726,,
2025-10-07,0.0,22.75,28.3,17.2,2025,280,12.313420752603832,0.0,0.0,washingtondc,0.25186666666666646,0.13372222222222221,-0.15340000000000004,-0.034166666666666616,,
2025-10-08,2.3,18.6,23.3,13.9,2025,281,12.272201787517766,0.0,0.0,washingtondc,0.30363333333333314,0.14112222222222218,-0.10343333333333334,-0.032111111111111056,,
2025-10-09,0.0,14.45,18.9,10.0,2025,282,12.231192328463358,0.0,0.0,washingtondc,0.3416999999999998,0.15004444444444442,-0.06026666666666668,-0.027922222222222168,,
2025-10-10,0.0,15.0,20.0,10.0,2025,283,12.190399889628567,0.0,0.0,washingtondc,0.3554333333333331,0.15268888888888885,-0.010166666666666687,-0.02202222222222217,,
2025-10-11,2.3,16.4,22.2,10.6,2025,284,12.149832088359494,0.0,0.0,washingtondc,0.3508333333333331,0.15328888888888886,0.053066666666666644,-0.012088888888888833,,
2025-10-12,1.5,16.35,18.3,14.4,2025,285,12.109496651106802,0.0,0.0,washingtondc,0.3337666666666665,0.14806666666666662,0.10769999999999998,-0.0014888888888888335,,
2025-10-13,1.8,15.25,17.2,13.3,2025,286,12.069401419027766,0.0,0.0,washingtondc,0.3147999999999998,0.13953333333333331,0.13783333333333334,0.009111111111111167,,
2025-10-14,0.5,16.35,19.4,13.3,2025,287,12.029554353227548,0.0,0.0,washingtondc,0.3051666666666665,0.13234444444444443,0.16079999999999997,0.021400000000000058,,
2025-10-15,0.0,17.75,23.3,12.2,2025,288,11.989963539622957,0.0,0.0,washingtondc,0.30536666666666645,0.1261111111111111,0.16389999999999996,0.023777777777777835,,
2025-10-16,0.0,14.15,18.9,9.4,2025,289,11.950637193411657,0.0,0.0,washingtondc,0.32556666666666645,0.12301111111111107,0.15316666666666662,0.01938888888888895,,
2025-10-17,0.0,13.6,19.4,7.8,2025,290,11.911583663129317,0.0,0.0,washingtondc,0.35309999999999975,0.1255333333333333,0.13676666666666665,0.015288888888888947,,
2025-10-18,0.0,16.65,23.3,10.0,2025,291,11.872811434277146,0.0,0.0,washingtondc,0.36396666666666644,0.12267777777777775,0.11349999999999998,0.005288888888888948,,
2025-10-19,3.6,19.15,24.4,13.9,2025,292,11.834329132501782,0.0,0.0,washingtondc,0.35743333333333316,0.11257777777777775,0.09499999999999997,-0.0048111111111110525,,
2025-10-20,0.3,15.0,20.0,10.0,2025,293,11.796145526309552,0.0,0.0,washingtondc,0.3229666666666665,0.1007222222222222,0.08013333333333332,-0.006366666666666609,,
2025-10-21,0.0,15.25,22.2,8.3,2025,294,11.758269529296841,0.0,0.0,washingtondc,0.2668666666666665,0.0878444444444444,0.06559999999999998,-0.0069555555555555005,,
2025-10-22,0.0,15.85,20.6,11.1,2025,295,11.720710201878386,0.0,0.0,washingtondc,0.2035999999999998,0.06922222222222219,0.043299999999999984,-0.017299999999999944,,
2025-10-23,0.0,13.6,18.9,8.3,2025,296,11.683476752495261,0.0,0.0,washingtondc,0.1503999999999998,0.04904444444444441,0.010499999999999983,-0.03831111111111106,,
2025-10-24,0.0,10.85,16.1,5.6,2025,297,11.64657853828449,0.0,0.0,washingtondc,0.10316666666666648,0.03526666666666664,-0.03103333333333335,-0.058044444444444385,,
2025-10-25,0.0,10.0,15.6,4.4,2025,298,11.610025065192454,0.0,0.0,washingtondc,0.08523333333333315,0.0419333333333333,-0.07086666666666668,-0.07387777777777772,,
2025-10-26,0.0,11.4,17.2,5.6,2025,299,11.573825987514574,0.0,0.0,washingtondc,0.09349999999999982,0.060733333333333306,-0.12010000000000003,-0.09377777777777774,,
2025-10-27,0.0,12.5,18.9,6.1,2025,300,11.537991106844112,0.0,0.0,washingtondc,0.11499999999999982,0.07361111111111109,-0.1875666666666667,-0.11904444444444438,,
2025-10-28,0.0,10.55,13.9,7.2,2025,301,11.502530370413668,0.0,0.0,washingtondc,0.12373333333333317,0.0754111111111111,-0.26403333333333334,-0.14573333333333327,,
